products_May-18_05-59-13PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product ID [Non Editable],Variant ID [Non Editable],Product Type [Non Editable],Product Page,Product URL,Title,Description,SKU,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Option Name 3,Option Value 3,Option Name 4,Option Value 4,Option Name 5,Option Value 5,Option Name 6,Option Value 6,Price,Sale Price,On Sale,Stock,Categories,Tags,Weight,Length,Width,Height,Visible,Hosted Image URLs
5f45741994a314193ae62474,15d50499-1e8c-43d7-8677-a59f56af17ee,PHYSICAL,imported-products,art-gallery-fabric-100-cotton-floral-quilt-bundle-bonnie-christine-fabric-bundle-fabric-kit-bonnie-christine-designs-fat-quarter,Art Gallery Fabric 100% Cotton Floral Quilt Bundle Bonnie Christine Fabric Bundle Fabric Kit Bonnie Christine Designs Fat Quarter,"<p>Bonnie Christine Designed fabrics for Art Gallery Fabrics 100% premium cotton. A sample of Bonnie Christens most popular designed fabrics including selections from:  Lambkin collection, The Open Road Collection, Cultivate Collection, Gathered Collection, and Her & History Collection. <br><br>5 Fat Quarters (18'' x 22'') or 5 Half Yards (18'' x 44'') Fabrics include Bonnie Christine Designs & coordinating solids: <br><br>Free shipping included with purchase of $35+<br><br>This fabric is OEKO-TEX certified meaning only safe inks are used for the health of your skin and the planet.<br><br>205 Thread count (133 x 72) - A fine and tight weave is used suitable for masks and ideal to be washed over and over.<br><br>Would recommend for any project in need of breathable fabric with slight drape. Great for beginners, easy to work with, stash builder, fabric stash, quilt bundle, ect. Fabric by the yard, art gallery fabrics, great for crafting, quilting, embroidery, apparel sewing, ect. Limited stock color for 2020. Great for quilting, apparel sewing, embroidery, crafting, ect.</p>",SQ6154888,Length,Fat Quarter Bundle,,,,,,,,,,,15.99,0,No,0,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387858513-94H9RVA6YRRC3M9HS5QT/ke17ZwdGBToddI8pDm48kKT96-mTqGc-stp-zZRIm9p7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UTNp7wJXdR1xX66M6thRzqrQ6_o4HcW8ZfkNO26r5aioETgZ1M0luSsj-o69URGWyw/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387858979-6GOC3J2I5BRNL2C1H9MH/ke17ZwdGBToddI8pDm48kKT96-mTqGc-stp-zZRIm9p7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UTNp7wJXdR1xX66M6thRzqrQ6_o4HcW8ZfkNO26r5aioETgZ1M0luSsj-o69URGWyw/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387859286-RVSOO1WHASAQDKO3HYNN/ke17ZwdGBToddI8pDm48kC_k2MQ9gAyN_Di38hOlQQF7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UaLOqZeuGL-_SfbgblN0VWdhUCT-h7QxXjtNUtSRm1W1K76i4Pnf4gjsqffMFtWRmg/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387859380-AO7322UJR9HUPQOB8N7D/ke17ZwdGBToddI8pDm48kBZw6jF4_OvU-ddo_vwqGhp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1Ub61YCrK70I7JIpWiI8ho4Yi1WvVNQtDE81xuRbL1MFKm0sD-Bab7E9MY8W31A7zMQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387859890-Y76KGOT6861VH7MQ3P4N/ke17ZwdGBToddI8pDm48kGcdkOB1bmc_e53QDB8K2HtZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIlWk9S15MEC5FJu1qyQZlQ30M4ogUCLKPSP6EZI8y-v4KMshLAGzx4R3EDFOm1kBS/image-asset.jpeg
,161d0812-5051-4044-944f-0f39a90a7772,,,,,,SQ7637841,Length,Half Yard Bundle,,,,,,,,,,,15.99,0,No,0,,,0,0,0,0,,
5f45741994a314193ae6264d,771703d5-c658-4995-a5e6-9a35709e33a1,PHYSICAL,imported-products,art-gallery-fabric-by-the-yard-100-cotton-gaia-eventide-navy-abstract-design-home-decor-fabric-katarina-roccella-earthen-collection-agf,Art Gallery Fabric By The Yard 100% Cotton - Gaia Eventide Navy Abstract Design Home Decor Fabric Katarina Roccella Earthen Collection AGF,"<p>Art Gallery Fabrics in the shade/pattern Gaia Eventide designed by Katarina Roccella Earthen Collection<br><br>100% premium cotton with silky high end texture and feel<br><br>Cut off of the bolt continuously or by requested measurement if needed. Please direct message me with cut requests.<br><br>Fabric by the yard, art gallery fabrics, great for crafting, quilting, embroidery, apparel sewing, ect.<br>Limited stock color for 2020.<br><br>Inspired by the nature that surrounds and inspires us daily, this group of fabrics is an ode to life on our beautiful planet, painted in earthy tones, enriched with imprinted textures. DESIGNED BY KATARINA ROCCELLA<br><br>Great for quilting, apparel sewing, embroidery, crafting, children's apparel & crafts, space projects, ect. <br><br>This fabric is OEKO-TEX certified meaning only safe inks are used for the health of your skin and the planet.</p>",SQ8606081,Length,1/4,,,,,,,,,,,5.6,0,No,0,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387929679-N83XBU7SUJA20CELX66N/ke17ZwdGBToddI8pDm48kL9zgkDGtXBDe-HrJ3uAGXBZw-zPPgdn4jUwVcJE1ZvWhcwhEtWJXoshNdA9f1qD7Xj1nVWs2aaTtWBneO2WM-tho8yEEpeODwtZ7OcjCOHxG08GBFkpwtyd2j6Ze7Z5uQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387930484-9AUJ1H1W5JFVGVCVI7ML/ke17ZwdGBToddI8pDm48kAIfcJFZGpKtNVBALNrbl4R7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UdlhlfMoa8Y1wWYxdMje9fFpVIGjtp1XTfRmqZtrwLZf2UGDRv25SZiBt7ZrLzpCiQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387931282-U7HV0PTLR6MQ0I8H3RRT/ke17ZwdGBToddI8pDm48kHlaWrS2GqqsBQ-2TmGMQm97gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1URX7j7UtMfGcwJ2gMV7cQO7XW25Zezqv9kKFP_lfOx2IZzUG1zQTZ017Qc4TEVM0WQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387931579-OEFYXVMVKE3NWTF8PBDM/ke17ZwdGBToddI8pDm48kE1q09BU_tXerNj00TJgs397gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UcgDo8v4eHpuSeynIfQsvtBhvLeRRMfV69VRvu9v9NjStNpR-oeFwj2Ae_lbqFbpxA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387932285-CWD99JMDO16S39A9OSZJ/ke17ZwdGBToddI8pDm48kFS9t-x1en4zZadEpeeuQ-57gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0geeCvn1f36QDdcifB7yxGgHVauGNlDKVQIJZUXVMIFPwazUgzPfQTTK1nQ-c6h3cg/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387932481-K9L87HS0LKTL10HPDNPA/ke17ZwdGBToddI8pDm48kOfE5bDmynFFPS39DVYlHBN7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UTk3BmGLPrJSJBwmiAWyNSS56Y9rrc-3YHYotI03PCPMl_ZyxmVwDHX_BLq1V-e4VA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387932982-21DYPLA9TXVQSZYB9BYC/ke17ZwdGBToddI8pDm48kP6L4PriKBxZ7NbKN6KfrU97gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5d4_3UX1N2uzaoWb8YZJ4SHZdtep9UXztEcDlfqZXWTeA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387933182-TXMS9E29DD8MN2Y6CT5P/ke17ZwdGBToddI8pDm48kODHYtmXU_kbEtPmSzPwEaZ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0gycmlYrUNOm5FlGNDjMZJiGv6Ezbo3r_isKH6mrGJmnDD5B2oendVrpFgZO0915cg/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387934679-T4HEFSAIQY5ZASGYBE13/ke17ZwdGBToddI8pDm48kJK4Mm1kch8SFO9ZNkN1NT97gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QHyNOqBUUEtDDsRWrJLTmFk_H6M1tkD9NpL7mXac0oVSXdFfjxR5AjcLwGSebOiGBsFzzcw3xKxvyC_6CFFG_/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387935279-R6VIS7RT7UC2P9BMH0GZ/ke17ZwdGBToddI8pDm48kN364l8Grj1AMYzSglFMdLtZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIisxNoT6OTfIu1n5lMFG46Oh-M-DpqEs14SuqEn5qkMgKMshLAGzx4R3EDFOm1kBS/image-asset.jpeg
,f0df0725-f54f-4e78-b8c1-a319b1f81be6,,,,,,SQ2422858,Length,1/2,,,,,,,,,,,5.6,0,No,0,,,0,0,0,0,,
,13434337-0413-4a95-b98e-bb5cac3616f3,,,,,,SQ2564187,Length,3/4,,,,,,,,,,,5.6,0,No,0,,,0,0,0,0,,
,229a8411-9cb2-4421-a656-666e07366a2f,,,,,,SQ8041501,Length,1,,,,,,,,,,,5.6,0,No,0,,,0,0,0,0,,
5f45741994a314193ae621da,ed7815e5-09a6-4360-9e69-388a2bb86c8d,PHYSICAL,imported-products,art-gallery-fabric-sea-blue-half-yard-bundle-100-cotton-curated-color-fabric-bundle-now-with-new-2020-art-gallery-fabric-shades,Art Gallery Fabric Sea Blue Half Yard Bundle 100% Cotton Curated Color Fabric Bundle! Now with new 2020 Art Gallery Fabric Shades!,"<p>Set of Half Yard's (18''x44'') curated to create a 2020 blue trend color bundle ready for crafting of any kind. Celebrating summer crafting and fabric creating with bright shades of blues.  <br><br>Each Fabric is 100% Premium Cotton manufactured by Art Gallery Fabric. Shades included in the bundle are:<br><br>4 Piece -  Half Yard Bundle <br>Crystalline by Art Gallery Fabrics<br>Spruce by Art Gallery Fabrics <br>Tile Blue by Art Gallery Fabrics<br>Lavender Water by Art Gallery Fabrics<br><br>5 Piece -  Half Yard Bundle <br>Cremè de la Cremè by Art Gallery Fabrics<br>Crystalline by Art Gallery Fabrics<br>Ocean  by Art Gallery Fabrics <br>Spruce by Art Gallery Fabrics<br>Northern Waters by Art Gallery Fabrics<br><br>6 Piece -  Half Yard Bundle <br>Cremè de la Cremè by Art Gallery Fabrics<br>Crystalline by Art Gallery Fabrics<br>Ocean  by Art Gallery Fabrics <br>Spruce by Art Gallery Fabrics<br>Northern Waters by Art Gallery Fabrics<br>Tile Blue  by Art Gallery Fabrics<br><br>Fabric Care: Machine wash warm, normal cycle.<br>Use only non-chlorine bleach. <br>Tumble dry medium. Use warm Iron.<br><br>All pictures are taken to portray the most accurate color possible. Color varies by display. Photos 2-9 are directly from supplier website.</p>",SQ2152336,Bundles,4 Half Yards,,,,,,,,,,,20,0,No,0,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387757119-TDMQ8Q5AB36YW4HIAI8X/ke17ZwdGBToddI8pDm48kLgB3565rd7KS0cfyGhSaMJ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UV_4LWxYodayQzHxZfgqAH82QTnNvIcmqrC7cZUqjrnZ6YQbqRtPeKlk01x6efqeGA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387758511-QIF41MWL9F33DKBVN1KT/ke17ZwdGBToddI8pDm48kP5-8PoHFZT7N8TdipEvgSp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UUIKNjKjtLTMVqjb-ydwE8nmlL5JDRzXFWzKBgjut8LwuszAfugWv5swldEbN0BhyQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387759391-0OJWC2ORH3DZUKEUDFLE/ke17ZwdGBToddI8pDm48kPmjClRhF3ZDOFGhUIULbBp7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UWiyzB4BBo65D3BJZkgPACD0o6HewQkcWdhNUNgZd8ubj98zSYky2TCTwUpJT7udpA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387759811-J7WHTT42DBXLOECEFCJ1/ke17ZwdGBToddI8pDm48kE4wEl71f_p7nMm43MDtikJ7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UaMgYv65ipVZ7xF95xczqkAwgX0vdxi9CmDFxSNLZT8sAY5POXD_h1jeGI4ZHjnUGw/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387759980-GNZIUYIMXY8J55NMGKG6/ke17ZwdGBToddI8pDm48kK8CIbrW-mKDZVCXnwO3MWF7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UfBq2uIX4UCSXTsq2yCGsMvB2ASHPe1EYP2HSi4VIr-WtEFb-HhWljtJ-vfKDf_eiw/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387760383-YQS63TOGEUL008DUKNI9/ke17ZwdGBToddI8pDm48kJdY8-lrZ0KHoYuaiIY-UNx7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UYk2yb6poJeVTVQSoG_iIZCb-lboiLLZzFHWFlC0Uj9HcWyOVwgQaVVsC2ADdWtckA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387760481-LNCJUN2GXHUNLVT1Q9P3/ke17ZwdGBToddI8pDm48kNPKVmbt05aEWnErXou3fDl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0tb-hnCqoepq4X8c1traqO_6-8vaS3UGENu9QP5pfFlLbyLeIY6QzmBTG9h7XCKkkQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387760985-L6XCJ3T35438R32ZPX94/ke17ZwdGBToddI8pDm48kL-PDEV0kc4nkv6ZO74dbct7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UfdVC79UZfxPkMeg9HFyXpQQifYSi4HMBv5Z68sTGDeU_XaCZ2eR_PUwOvzfpR6u4g/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387761280-XU7YGWSVM5JPRDGA8VFT/ke17ZwdGBToddI8pDm48kAuHy2yVub4qhYdjGQXlkQR7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UUIONVh7wMub2kIMAv5GNrUOaC-Gh1_r8pjFTRhI_hQkKJMv9bMHwOk5C9qUgqx9BA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387761378-3ZMKSSTAVZ3K9GIING4V/ke17ZwdGBToddI8pDm48kGcdkOB1bmc_e53QDB8K2HtZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIlWk9S15MEC5FJu1qyQZlQ30M4ogUCLKPSP6EZI8y-v4KMshLAGzx4R3EDFOm1kBS/image-asset.jpeg
,1df2676b-f0de-4ac9-813d-1d747c9997dc,,,,,,SQ5565872,Bundles,5 Half Yards,,,,,,,,,,,20,0,No,0,,,0,0,0,0,,
,0a99595f-91e4-4b3c-84f0-8be7a3213899,,,,,,SQ1005710,Bundles,6 Half Yards,,,,,,,,,,,20,0,No,0,,,0,0,0,0,,
5f45741994a314193ae62261,11ba276d-bb30-445a-b43c-7ce07cc62d48,PHYSICAL,imported-products,art-gallery-fabric-sea-blue-half-yard-bundle-100-cotton-curated-color-fabric-summer-spring-craft-boy-nursery-craft-baby-toddler-infant-kid,Art Gallery Fabric Sea Blue Half Yard Bundle 100% Cotton Curated Color Fabric Summer Spring Craft Boy Nursery Craft Baby Toddler Infant Kid,"<p>Set of 4 Half Yard (18''x44'') curated to create a 2020 blue trend color bundle ready for crafting of any kind. Celebrating summer crafting and fabric creating with bright shades of blues.  <br><br>Each Fabric is 100% Premium Cotton manufactured by Art Gallery Fabric. Shades included in the bundle are:<br><br>Crystalline by Art Gallery Fabrics<br>Spruce by Art Gallery Fabrics (New Color)<br>Tile Blue by Art Gallery Fabrics<br>Lavender Water by Art Gallery Fabrics<br><br>Fabric Care: Machine wash warm, normal cycle.<br>Use only non-chlorine bleach. <br>Tumble dry medium. Use warm Iron.<br><br>All pictures are taken to portray the most accurate color possible. Color varies by display. Photos 2-9 are directly from supplier website.</p>",SQ0525003,,,,,,,,,,,,,20,0,No,1,,,0,0,0,0,Yes,https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387776880-YF83Q8S3ZXD5N3P4J8K8/ke17ZwdGBToddI8pDm48kNPKVmbt05aEWnErXou3fDl7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0tb-hnCqoepq4X8c1traqO_6-8vaS3UGENu9QP5pfFlLbyLeIY6QzmBTG9h7XCKkkQ/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387777669-BMCN1WEG81GNF3H4E0I6/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387778281-FKHKU94HE8ZRPBS4S3JG/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387778480-AD7PGCY1H8K8VMYDA57L/ke17ZwdGBToddI8pDm48kNTTN4eFGRE8iiiu8SoDZjd7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0jRb3i7UjwNNySrgFE_nWatvtW1apULhXufXynJhr9TGJgu1kYXruSQFEcNeso74Lg/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387778684-86CW9XYBMD8Y13H0VJUX/ke17ZwdGBToddI8pDm48kL-PDEV0kc4nkv6ZO74dbct7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UfdVC79UZfxPkMeg9HFyXpQQifYSi4HMBv5Z68sTGDeU_XaCZ2eR_PUwOvzfpR6u4g/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387779282-9ZMLN5PIBVQ697BQ8BBO/ke17ZwdGBToddI8pDm48kDHPSfPanjkWqhH6pl6g5ph7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0mwONMR1ELp49Lyc52iWr5dNb1QJw9casjKdtTg1_-y4jz4ptJBmI9gQmbjSQnNGng/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387780083-IG92PEWCOB93CPZ8A3NX/ke17ZwdGBToddI8pDm48kJ8_Qs_pEF2r0x-ryyqQUyx7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UWaPmrJWUCPXMG8T8dO0SJpQMWrpB5nWXnj-i6IJd_Y-k6njYl11G5L7fzncSwy7fg/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387779979-OFQD3QQU8PHLSSEPTIPD/ke17ZwdGBToddI8pDm48kAuHy2yVub4qhYdjGQXlkQR7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z5QPOohDIaIeljMHgDF5CVlOqpeNLcJ80NK65_fV7S1UUIONVh7wMub2kIMAv5GNrUOaC-Gh1_r8pjFTRhI_hQkKJMv9bMHwOk5C9qUgqx9BA/image-asset.jpeg https://images.squarespace-cdn.com/content/v1/5f4005a8d7146f58de2916d1/1598387779782-B0G49CA1WHK925TMAUKO/ke17ZwdGBToddI8pDm48kN364l8Grj1AMYzSglFMdLtZw-zPPgdn4jUwVcJE1ZvWQUxwkmyExglNqGp0IvTJZamWLI2zvYWH8K3-s_4yszcp2ryTI0HqTOaaUohrI8PIisxNoT6OTfIu1n5lMFG46Oh-M-DpqEs14SuqEn5qkMgKMshLAGzx4R3EDFOm1kBS/image-asset.jpeg
